
CPIO INFORMATION 

MET Start: 514289169.22 Stop: 514289169.22
UTC Start: 2017:109:10:06:04 Stop: 2017:109:10:06:04

OBSID: 00000000000 Target: 0 Segment: 0
RA: 0.00000 Dec: 0.00000
Roll: 0.00000

DATAMODE: -- (none) --
CPIONAME:onslew.sou


-----------------------------------------------------------

EXTENSION : TRIG_SOURCE
DATAMODE : -- (none) --
TYPE : TRIG_SOURCE
Number of Rows : 1300

Names of Columns: 

TIME 1D (1)
NAME 15A (15)
SCRIPT 1A (1)
CATNUM 1J (1)
DSPCLEAN 1X (1)
SRC_TYPE 1I (1)
MERIT 1I (1)
RA_OBJ 1E (1)
DEC_OBJ 1E (1)
THRESHOLD 1E (1)
LDPNAME 15A15 (15)
APID 1I (1)
LDP 1J (1)



NOTE: "VVVVVVVV" indicates repeated lines have been removed

+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| ROW| TIME| NAME|S| CATNUM| DSPCLEAN|SRC_TYPE| MERIT| RA_OBJ| DEC_OBJ| THRESHOLD| LDPNAME| APID| LDP|
+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| 1|514289169.22|AutoGRBa |G| 25797|0x00000000| 2| 100| 219.81| -25.244| 105.45|onslew.sou | 481| 48954|
| 2|514289169.22|AutoGRBb |G| 28858|0x00000000| 2| 100| 199.85| 15.471| 39.312|onslew.sou | 481| 48954|
| 3|514289169.22|AutoGRBc |G| 23086|0x00000000| 2| 100| 284.28| 6.2695| 424.97|onslew.sou | 481| 48954|
| 4|514289169.22|AutoGRBd |G| 24773|0x00000000| 2| 100| 283.33| -13.437| 166.07|onslew.sou | 481| 48954|
| 5|514289169.22|AutoGRBe |G| 24791|0x00000000| 2| 100| 323.78| -24.414| 79.080|onslew.sou | 481| 48954|
| 6|514289169.22|Crab |0| 10001|0x00000000| 6| 95| 83.633| 22.014| 200.00|onslew.sou | 481| 48954|
| 7|514289169.22|Cyg X-1 |0| 10002|0x00000080| 4| 123| 299.59| 35.202| 733.71|onslew.sou | 481| 48954|
| 8|514289169.22|Sco_X-1 |0| 10003|0x00000080| 4| 95| 244.98| -15.640| 690.00|onslew.sou | 481| 48954|
| 9|514289169.22|Her_X-1 |0| 10004|0x00000080| 6| 95| 254.46| 35.342| 110.87|onslew.sou | 481| 48954|
| 10|514289169.22|Vela_X-1 |0| 10005|0x00000080| 6| 95| 135.53| -40.555| 433.77|onslew.sou | 481| 48954|
| 11|514289169.22|1E_1740.7-2942 |0| 10006|0x00000000| 5| 95| 265.98| -29.735| 37.410|onslew.sou | 481| 48954|
| 12|514289169.22|GRS_1915+105 |0| 10007|0x00000000| 5| 95| 288.80| 10.940| 1195.0|onslew.sou | 481| 48954|
| 13|514289169.22|GX_1+4 |0| 10008|0x00000000| 5| 95| 263.00| -24.750| 307.00|onslew.sou | 481| 48954|
| 14|514289169.22|1A_0535+262 |0| 10009|0x00000000| 4| 95| 84.725| 26.317| 2855.5|onslew.sou | 481| 48954|
| 15|514289169.22|1A_1742-294 |B| 10010|0x00000000| 11| 95| 266.52| -29.517| 387.00|onslew.sou | 481| 48954|
| 16|514289169.22|1A_1742-294 |B| 15010|0x00000000| 16| 95| 266.52| -29.517| -21784.|onslew.sou | 481| 48954|
| 17|514289169.22|2CG_036+01 |0| 10011|0x00000000| 13| 95| 283.12| 3.8670| 548.00|onslew.sou | 481| 48954|
| 18|514289169.22|2CG_054+01 |0| 10012|0x00000000| 13| 95| 141.35| 19.633| 658.00|onslew.sou | 481| 48954|
| 19|514289169.22|2CG_065+00 |0| 10013|0x00000000| 13| 95| 299.25| 28.800| 323.00|onslew.sou | 481| 48954|
| 20|514289169.22|2CG_075+00 |0| 10014|0x00000000| 13| 95| 304.95| 37.317| 336.00|onslew.sou | 481| 48954|
| 21|514289169.22|2CG_078+01 |0| 10015|0x00000000| 13| 95| 305.15| 40.433| 878.00|onslew.sou | 481| 48954|
| 22|514289169.22|2CG_095+04 |0| 10016|0x00000000| 13| 95| 313.08| 55.200| 1043.0|onslew.sou | 481| 48954|
| 23|514289169.22|2CG_121+04 |0| 10017|0x00000000| 13| 95| 8.0000| 66.800| 356.00|onslew.sou | 481| 48954|
| 24|514289169.22|2CG_135+01 |R| 10018|0x00000000| 13| 124| 40.400| 61.070| 190.83|onslew.sou | 481| 48954|
| 25|514289169.22|2CG_235-01 |0| 10019|0x00000000| 13| 95| 112.50| -20.400| 1097.0|onslew.sou | 481| 48954|
| 26|514289169.22|SNR312.4-00.4 |0| 10020|0x00000000| 13| 95| 212.75| -62.200| 285.00|onslew.sou | 481| 48954|
| 27|514289169.22|2CG_333+01 |0| 10021|0x00000000| 13| 95| 244.25| -49.300| 463.00|onslew.sou | 481| 48954|
| 28|514289169.22|4U_1630-472 |0| 10022|0x00000000| 4| 100| 248.51| -47.393| 69.772|onslew.sou | 481| 48954|
| 29|514289169.22|3C_120 |0| 10023|0x00000000| 9| 95| 68.300| 5.3500| 12.000|onslew.sou | 481| 48954|
| 30|514289169.22|3C_273 |0| 10024|0x00000000| 9| 95| 187.27| 2.0500| 584.00|onslew.sou | 481| 48954|
| 31|514289169.22|3C_279 |0| 10025|0x00000000| 9| 95| 194.05| -5.7830| 38.000|onslew.sou | 481| 48954|
| 32|514289169.22|3C_390.3 |0| 10026|0x00000000| 9| 95| 280.55| 79.767| 38.000|onslew.sou | 481| 48954|
| 33|514289169.22|X_PER |0| 10027|0x00000000| 4| 95| 58.850| 31.050| 48.420|onslew.sou | 481| 48954|
| 34|514289169.22|4U_1626-67 |0| 10028|0x00000000| 4| 95| 248.07| -67.467| 44.000|onslew.sou | 481| 48954|
| 35|514289169.22|4U_1700-377 |0| 10029|0x00000000| 13| 95| 255.98| -37.844| 612.45|onslew.sou | 481| 48954|
| 36|514289169.22|A0620-00 |0| 10030|0x00000000| 13| 95| 95.675| -0.35000| 1332.8|onslew.sou | 481| 48954|
| 37|514289169.22|Aql_X-1 |B| 10031|0x00000000| 11| 95| 287.83| 0.58300| 350.15|onslew.sou | 481| 48954|
+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| ROW| TIME| NAME|S| CATNUM| DSPCLEAN|SRC_TYPE| MERIT| RA_OBJ| DEC_OBJ| THRESHOLD| LDPNAME| APID| LDP|
+------+------------+---------------+-+-----------+----------+--------+--------+------------------+------------------+------------------+---------------+--------+-----------+
| 38|514289169.22|Aql_X-1 |B| 15031|0x00000000| 16| 95| 287.83| 0.58300| -35260.|onslew.sou | 481| 48954|
| 39|514289169.22|Briggs_Source |0| 10032|0x00000000| 13| 95| 283.75| -31.167| 2325.0|onslew.sou | 481| 48954|
| 40|514289169.22|Cas_A |0| 10033|0x00000000| 12| 95| 350.80| 58.817| 25.000|onslew.sou | 481| 48954|
| 41|514289169.22|Cen_A |0| 10034|0x00000000| 9| 95| 201.38| -43.017| 299.00|onslew.sou | 481| 48954|
| 42|514289169.22|Cen_X-3 |0| 10035|0x00000000| 4| 95| 170.30| -60.617| 62.000|onslew.sou | 481| 48954|
| 43|514289169.22|Coma |0| 10036|0x00000000| 12| 95| 194.90| 27.967| 136.00|onslew.sou | 481| 48954|
| 44|514289169.22|Cyg_X-2 |0| 10037|0x00000000| 11| 95| 326.17| 38.322| 37.677|onslew.sou | 481| 48954|
| 45|514289169.22|Cyg_X-2 |0| 15037|0x00000000| 16| 95| 326.17| 38.322| -47518.|onslew.sou | 481| 48954|
| 46|514289169.22|Cyg_X-3 |0| 10038|0x00000000| 4| 95| 308.11| 40.958| 64.250|onslew.sou | 481| 48954|
| 47|514289169.22|ESO_141-G55 |0| 10039|0x00000000| 9| 95| 290.30| -58.667| 82.000|onslew.sou | 481| 48954|
| 48|514289169.22|eta_Car |0| 10040|0x00000000| 12| 95| 161.25| -59.667| 22.000|onslew.sou | 481| 48954|
| 49|514289169.22|EXS1737.9-2952 |0| 10041|0x00000000| 4| 95| 265.28| -29.880| 1930.0|onslew.sou | 481| 48954|
| 50|514289169.22|Geminga |0| 10042|0x00000000| 6| 95| 98.475| 17.767| 143.00|onslew.sou | 481| 48954|
| 51|514289169.22|GRO_J0422+32 |0| 10043|0x00000000| 8| 95| 65.425| 32.917| 190.00|onslew.sou | 481| 48954|
| 52|514289169.22|GRS_1227+025 |0| 10044|0x00000000| 9| 95| 187.48| 2.1330| 96.000|onslew.sou | 481| 48954|
| 53|514289169.22|GRS_1724-308 |B| 10045|0x00000000| 11| 95| 261.90| -30.800| 158.00|onslew.sou | 481| 48954|
| 54|514289169.22|GRS_1730-312 |0| 10046|0x00000000| 13| 95| 263.38| -31.220| 50.000|onslew.sou | 481| 48954|
| 55|514289169.22|GRS_1739-278 |0| 10047|0x00000000| 13| 95| 265.67| -27.760| 299.00|onslew.sou | 481| 48954|
| 56|514289169.22|GRS_1758-258 |0| 10048|0x00000000| 13| 95| 270.30| -25.733| 128.00|onslew.sou | 481| 48954|
| 57|514289169.22|GX_17+2 |B| 10049|0x00000000| 11| 95| 274.00| -14.033| 48.000|onslew.sou | 481| 48954|
| 58|514289169.22|GX_17+2 |B| 15049|0x00000000| 16| 95| 274.00| -14.033| -1.1176E+05|onslew.sou | 481| 48954|
| 59|514289169.22|GX_3+1 |B| 10050|0x00000000| 11| 95| 266.98| -26.567| 70.000|onslew.sou | 481| 48954|
| 60|514289169.22|GX_3+1 |B| 15050|0x00000000| 16| 95| 266.98| -26.567| -38488.|onslew.sou | 481| 48954|
| 61|514289169.22|GX_301-2 |0| 10051|0x00000000| 13| 95| 186.65| -62.767| 800.49|onslew.sou | 481| 48954|
| 62|514289169.22|GX_304-1 |0| 10052|0x00000000| 13| 95| 195.32| -61.600| 385.28|onslew.sou | 481| 48954|
| 63|514289169.22|GX_339-4 |0| 10053|0x00000000| 13| 95| 255.70| -48.783| 670.00|onslew.sou | 481| 48954|
| 64|514289169.22|GX_340+0 |B| 10054|0x00000000| 11| 95| 251.45| -45.617| 6579.7|onslew.sou | 481| 48954|
| 65|514289169.22|GX_340+0 |B| 15054|0x00000000| 16| 95| 251.45| -45.617| -60326.|onslew.sou | 481| 48954|
| 66|514289169.22|GX_349+2 |B| 10055|0x00000000| 11| 95| 256.45| -36.417| 112.00|onslew.sou | 481| 48954|
| 67|514289169.22|GX_349+2 |B| 15055|0x00000000| 16| 95| 256.45| -36.417| -1.0110E+05|onslew.sou | 481| 48954|
| 68|514289169.22|GX_354-0 |0| 10056|0x00000000| 13| 95| 263.00| -33.833| 411.06|onslew.sou | 481| 48954|
| 69|514289169.22|GX_354-0 |0| 15056|0x00000000| 16| 95| 263.00| -33.833| -90954.|onslew.sou | 481| 48954|
| 70|514289169.22|GX_359+2 |0| 10057|0x00000000| 13| 95| 264.65| -28.483| 3140.0|onslew.sou | 481| 48954|
| 71|514289169.22|GX_5-1 |B| 10058|0x00000000| 11| 95| 270.27| -25.083| 336.00|onslew.sou | 481| 48954|
| 72|514289169.22|GX_9+1 |B| 10059|0x00000000| 11| 95| 270.38| -20.533| 26.000|onslew.sou | 481| 48954|
| 73|514289169.22|H1145-619 |0| 10062|0x00000000| 13| 95| 177.00| -62.217| 53.000|onslew.sou | 481| 48954|
